merchant_raw,category_id,amount_cents,notes
MAIIZ NIXTAMAL EATERY & VICTORIA,,2468,
MakeMyTrip Gurugram,,52200,
MAN CAVE BARBER SHOP -  WHITE ROCK,,3461,
MANCHU WOK 409862269    BURNABY,,1626,
"MANJAL SOUTH INDIAN KITC BURNABY, BC",,4827,
MAR MAC CONVENIENCE 001 SURREY,,479,
MARHABA RESTAURANT 001  VICTORIA,,12310,
MARILENA (TOPTABLE GROU VANCOUVER,,9277,
MARK'S STORE #320       EDMONTON,,-3149,
MARSHALLS 728           VICTORIA,,9631,
MARSHALLS 736           KELOWNA,,-9631,
MARSHALLS 745           EDMONTON,,-6844,
MARSHALLS 788           EDMONTON,,4304,
MARSHALLS 794           EDMONTON INTE,,3149,
MARY'S POPCORN SHOP 411 BANFF,,735,
MATCH EATERY & PUBLIC H CAMPBELL RIVER,,2420,
MCDONALD'S              WEST VANCOUVER,,335,
"MCDONALD'S #10947 VICTORIA, BC",,5201,
MCDONALD'S #11057       BURNABY,,53,
MCDONALD'S #1198   Q04  VANCOUVER,,210,
MCDONALD'S #12310       NORTH VANCOUVER,,250,
MCDONALD'S #1254        VICTORIA,,985,
MCDONALD'S #23431       RICHMOND,,1175,
MCDONALD'S #26038       VANCOUVER,,1314,
MCDONALD'S #41264       LEVIS,,2043,
MCDONALD'S #8009   Q04  BURNABY,,356,
"MEATEX FARMS LTD EDMONTON, AB",,8405,
MEMBERSHIP FEE INSTALLMENT,,1599,
"METRO CINEMA EDMONTON, AB",,2000,
"MINISO-AB-WEST EDMONTON M EDMONTON, AB",,419,
"MINISO-BC-PARK ROYAL WEST VANCOUVE, BC",,666,
MOLLYTEA EDMONTON       EDMONTON,,1052,
MOMO FACTORY            VANCOUVER,,4592,
MON PARIS PATISSERIE    BURNABY,,1389,
MOUNTAIN WAREHOUSE MOUN EDMONTON,,10499,
MOXIE'S CLASSIC GRILL   CAMPBELL RIVER,,4182,
MOXIES - 364 - YATES 29 VICTORIA,,2500,
MR. BARBER - JASPER     EDMONTON,,6275,
MUCHO BURRITO - 2107 40 EDMONTON,,2211,
MUCHO BURRITO - 2209 40 VICTORIA,,310,
MUCHO BURRITO 408355521 VICTORIA,,1129,
MUGHAL GARDENS 001      MERRITT,,3706,
MURCHIE'S HILLSIDE MURC VICTORIA,,394,
NANDO'S METROTOWN       BURNABY,,1993,
NEITHAL SEAFOOD GROCERY EDMONTON,,2467,
"NEITHAL SEAFOOD GROCERY EDMONTON, AB",,10440,
NETFLIX.COM             866-716-0414,,894,
NETFLIX.COM             VANCOVER,,894,
NEURONCA* TRIP-95U      VANCOUVER,,959,
NEURONCA* TRIP-LTB      VANCOUVER,,1091,
NEW YORK FRIES #3236    BURNABY,,1205,
"NEW YORK FRIES STORE # EDMONTON, AB",,1205,
NEWS & GIFTS SHOPS INTE ATLANTA,,1435,
"NINA PIZZA ST-JEAN QUEBEC, QC",,7409,
"NOFRILLS CRAIG'S #3947 LEDUC, AB",,735,
NOODLEBOX               NEW WESTMINSTER,,1842,
"NORTH COMPUTERS EDMONTON, AB",,5000,
NUESTRA                 Edmonton,,1339,
"NYF #3235 VANCOUVER, BC",,996,
OAK BAY REC RECEPTION 1 VICTORIA,,5000,
OAK BAY REC RECEPTION 2 VICTORIA,,575,
OLD NAVY CANADA 846     EDMONTON,,8853,
OLD SPAGHETTI EDMONTON  EDMONTON,,10288,
OLDNAVY.COM             800-427-7895,,4409,
OLIVE  GARDEN CDA #5    EDMONTON,,7951,
ON RUNNING CANADA INC.  VANCOUVER,,2200,
OPENAI                  SAN FRANCISCO,,1594,
OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,,2800,
"OPENROUTER, INC         NEW YORK",,547,
OTHER,,100000,
PACIFICA PADDLE SPORT   BRENTWOOD BAY,,4480,
"PADMANADI VEGETARIAN R EDMONTON, AB",,6214,
"PAILLARD ST JEAN QUEBEC, QC",,2738,
PAKKA LOCAL 001         SURREY,,2046,
"PAPA JOHN'S PIZZA NORTH BURNABY, BC",,1678,
PAPA JOHNS PIZZA 001    EDMONTON,,1962,
PARAGON CELPIP CAEL     778-327-6854,,30450,
"PARKING DTM - KELOWNA,  KELOWNA",,150,
PARKING PPL             TORONTO,,700,
PASSION TEAROOM 001     BURNABY,,1670,
PAY*RELIANCE RETAIL LT MUMBAI 2893.13 INR @ .016801,,4861,
PAYBYPHONE DIAMOND PAR  VANCOUVER,,795,
PAYMENT RECEIVED - THANK YOU,,-298614,transfer/exclude if internal movement
PAYMENT THANK YOU/PAIEMEN T MERCI,,105742,
PAYMENTUS-SERVICE-FE    800-420-1663,,97,
PAYPAL *FIRSTRUNTHE     6046847546,,1950,
PAYPAL *FIRSTRUNTHE     6047168041,,1950,
PAYPAL *INTEGRAPARK     5146534040,,1400,
PAYPAL *JOBLEADSUSI WWW 16098639558,,299,
PAYPAL *LIGHTRICKSU HNL 4029357733,,1601,
PAYPAL *NEEMARETAIL     4029357733,,1402,
PAYPAL *STARBUCKSCO     8002352883,,1000,
PAYPAL *STARBUCKSSF     8007827282,,1418,
PAYPAL *UBER            8665761039,,1098,
PAYPAL *UBER            8665791039,,7216,
PayU*www.bookmyshow.com Mumbai,,1364,
"PERSIA FOODS BURNABY, BC",,1977,
PETRO CANADA77918       TSAWWASSEN,,6561,
PETRO-CANADA 12996      MONTREAL,,2615,
PETRO-CANADA 13137      QUEBEC,,5000,
PETRO-CANADA 91452      SURREY,,5000,
PETRO-CANADA 92523      VANCOUVER,,2500,
PETRO-CANADA 92583      VANCOUVER,,1500,
"PHO WILLOUGHBY LANGLEY, BC",,2233,
PIZZA GARDEN 001        BURNABY,,2070,
PIZZA PIZZA # 564 VANCO VANCOUVER,,1500,
Point of Sale - Interac MDSE RETURN 332314068728 MARSHALLS 728,,7839,
Point of Sale - Interac MDSE RETURN 334211897665 MARSHALLS 728,,2014,
Point of Sale - Interac MDSE RETURN 505822406532 COSTCO WHOLESAL,,1567,
Point of Sale - Interac MDSE RETURN 600220487223 COSTCO WHOLESAL,,3464,
Point of Sale - Interac RETAIL PURCHASE 000001001335 WALMART STORE #,,2210,
Point of Sale - Interac RETAIL PURCHASE 000001001617 COSTCO WHOLESAL,,613,
Point of Sale - Interac RETAIL PURCHASE 001001001650 REAL CDN SUPERS,,3874,
Point of Sale - Interac RETAIL PURCHASE 137601951295 SQ *LOCAL PIZZA,,335,
Point of Sale - Interac RETAIL PURCHASE 137675931546 SQ *TINA CAKE D,,1573,
Point of Sale - Interac RETAIL PURCHASE 332019918317 MARSHALLS 728,,34334,
Point of Sale - Interac RETAIL PURCHASE 332812336013 BLUENOTES #9535,,6717,
Point of Sale - Interac RETAIL PURCHASE 334716246782 CINNZEO,,702,
Point of Sale - Interac RETAIL PURCHASE 415914220305 UVIC TUITION FE,,28204,
Point of Sale - Interac RETAIL PURCHASE 504118228559 COSTCO WHOLESAL,,26883,
Point of Sale - Interac RETAIL PURCHASE 513623473245 COSTCO WHOLESAL,,12559,
Point of Sale - Interac RETAIL PURCHASE 523123108665 COSTCO WHOLESAL,,865,
Point of Sale - Interac RETAIL PURCHASE 523123127911 COSTCO WHOLESAL,,366,
Point of Sale - Interac RETAIL PURCHASE 528600678960 MEATEX FARMS LT,,698,
Point of Sale - Interac RETAIL PURCHASE 529100651087 MEATEX FARMS LT,,2478,
Point of Sale - Interac RETAIL PURCHASE 531314233448 COSTCO GAS W109,,5516,
Point of Sale - Interac RETAIL PURCHASE 532719355139 COSTCO WHOLESAL,,581,
Point of Sale - Interac RETAIL PURCHASE 535612414978 DROGHERIA FINE,,748,
Point of Sale - Interac RETAIL PURCHASE 536014463597 DROGHERIA FINE,,748,
Point of Sale - Interac RETAIL PURCHASE 536015308043 DROGHERIA FINE,,748,
Point of Sale - Interac RETAIL PURCHASE 600220155363 COSTCO WHOLESAL,,32408,
Point of Sale - Interac RETAIL PURCHASE 602418134175 COSTCO WHOLESAL,,23836,
Point of Sale - Interac RETAIL PURCHASE 602418220403 COSTCO WHOLESAL,,6092,
Point of Sale - Interac RETAIL PURCHASE 602418453592 COSTCO WHOLESAL,,366,
Point of Sale - Interac RETAIL PURCHASE 604816186075 ACCU-SEARCH REG,,3500,
Point of Sale - Interac RETAIL PURCHASE 604816186152 ACCU-SEARCH REG,,3500,
Point of Sale - Interac RETAIL PURCHASE 605817391857 COSTCO WHOLESAL,,158,
Point of Sale - Interac RETAIL PURCHASE 605818222592 COSTCO WHOLESAL,,13202,
Point of Sale - Interac RETAIL PURCHASE 609214490609 ACCU-SEARCH REG,,1700,
Point of Sale - Interac RETAIL PURCHASE 609215470498 ACCU-SEARCH REG,,7000,
Point of Sale - Interac RETAIL PURCHASE C01159425163 USAT_TD802335,,475,
Point of Sale - Interac RETAIL PURCHASE C06959431434 USAT_TD802335,,350,
Point of Sale - Interac RETAIL PURCHASE C38750197521 USAT_TD802335,,200,
Point of Sale - Interac RETAIL PURCHASE C38750258061 USAT_TD802335,,275,
Point of Sale - Interac RETAIL PURCHASE C57524898594 USAT_TD802335,,275,
Point of Sale - Interac RETAIL PURCHASE C57613069394 USAT_TD802335,,275,
Point of Sale - Interac RETAIL PURCHASE C84009452072 USAT_TD802335,,200,
Point of Sale - Interac RETAIL PURCHASE C84009583362 USAT_TD802335,,250,
Point of Sale - Interac RETAIL PURCHASE C97061021232 USAT_TD802335,,275,
Point of Sale - Interac RETAIL PURCHASE C97095796683 USAT_TD802335,,275,
Point of Sale - Interac RETAIL PURCHASE C98208355251 USAT_TD802335,,350,
Point of Sale - Visa Debit CORRECTION DOMINO'S PIZZA 520471038029,,3148,
Point of Sale - Visa Debit CORRECTION DOMINO'S PIZZA 520496067410,,3568,
Point of Sale - Visa Debit CORRECTION Flights on Book 409706600344 2121.00 CAD @ 1.000000,,212100,
Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Flights on Book 409706600344 2121.00 CAD @ 1.000000,,212100,
Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV UBER CANADA/UBE 327823203925,,1066,
Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL UBER CANADA/UBE 327823203925,,1110,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 520471038029,,3148,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 520471038515,,3148,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 520496067410,,3568,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 522299185959,,2544,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 523176762036,,1698,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 533695733441,,5006,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 534397138047,,1490,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 535198822124,,1611,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOMINO'S PIZZA 600577263098,,3143,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PLAYNOW.COM 877 421517351733,,6000,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE REMITLY* J29F2 422305004344,,5199,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE REMITLY* PF67B 523806301841,,6545,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE UBER CANADA/UBE 327823203925,,1110,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE UBER CANADA/UBE 327900182429,,44,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE UVIC ONE CARD O 324418119321,,800,
Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE UVIC ONE CARD O 324517140680,,1500,
POPEYE'S NORTH VANCOUVE NORTH VANCOUV,,7555,
POPEYE'S SUPPLEMENTS VI VICTORIA,,8031,
PORT MOODY              Port Moody,,1357,
"POTATO CORNER AND CHAT EDMONTON, AB",,670,
"PRAIRIELEARN, INC.      CHAMPAIGN",,2205,
PURDYS CHOCOLATIER      VICTORIA,,1575,
PURDYS CHOCOLATIER - MA Victoria,,2048,
PYN*KEYCHRON PYN        HONG KONG,,11651,
QUAILS GATE WINERY      WEST KELOWNA,,14010,
QUESADA BURRITOS & TACO EDMONTON,,1552,
QUESADA BURRITOS AND TA NORTH VANCOUVER,,1707,
QUESADA BURRITOS AND TA VANCOUVER,,1311,
R PARKING  VIC          VICTORIA,,1000,
"RABBIT HILL SKI RESORT EDMONTON, AB",,18690,
"Rabbit Hill Ski Resort F EDMONTON, AB",,1194,
Razorpay*Swiggy         Bangalore,,1150,
"REAL CDN SUPERSTORE #1 BURNABY, BC",,2939,
"REAL CDN SUPERSTORE #1 VANCOUVER, BC",,1131,
"REAL CDN. SUPERSTORE # N.VANCOUVER, BC",,9363,
RED ARROW/EBUS/DIVERSI  CALGARY,,5694,
RESTAURANT              North Vancouver,,1574,
RESTAURANT PARFUM DE L' QUEBEC,,2896,
REVENUE SERVICES BC VIC VICTORIA,,22500,
RICARDO'S 001           WHITE ROCK,,2150,
"RIO THEATRE VANCOUVER, BC",,4600,
"ROGERS ******9395 888-764-3771, ON",,664,
ROLLZZY BISTRO          VANCOUVER,,335,
ROXY THEATRE ROXY THEAT VICTORIA,,450,
ROYAL AB MUSEUM EDMONTO EDMONTON,,4200,
"ROYAL BC MUSEUM VICTORIA, BC",,4800,
S416 KATHIPARA URBAN SQ CHENNAI,,2060,
SafeKey - JUSTFLY CORP,,-28011,
SAFEWAY #4931 VANCOUVER VANCOUVER,,3622,
SAFEWAY #4980 COQUITLAM COQUITLAM,,450,
SAHOTA'S LIVE GRILL 001 ABBOTSFORD,,14965,
"SALARMY HILLSIDE THRIFT S VICTORIA, BC",,1170,
SAMBAR KITCHEN 001      SURREY,,7673,
SAMSUNG CANADA ELECTRON MISSISSAUGA,,47038,
SAVE ON FOODS #2221     BURNABY,,1616,
SAVE ON FOODS #6613     EDMONTON,,1364,
SAVE ON FOODS #907      BURNABY,,718,
SAVE ON FOODS #961      VANCOUVER,,310,
"SAVE ON FOODS #996 BURNABY, BC",,969,
SEASIDE DONAIR KEBAB 00 NORTH VANCOUV,,1689,
SECOND CUP CAFE 4132834 EDMONTON,,656,
SEPHORA SOUTHGATE       EDMONTON,,9975,
"SH VENDING8003620026 RICHMOND HILL, ON",,385,
SHAKA GESTION DE PROJET Quebec,,1322,
SHAKE IT BUBBLE TEA SHA VICTORIA,,872,
SHOOTING STAR AMUSEMENT Okanagan Falls,,2000,
SHOPPERS DRUG MART #022 VICTORIA,,5218,
SHOPPERS DRUG MART #211 LANGLEY,,2596,
SHOPPERS DRUG MART #22  BURNABY,,2814,
SHOPPERS DRUG MART #22  VANCOUVER,,5586,
SHOPPERS DRUG MART #225 BURNABY,,2351,
"SHOPPERS DRUG MART #23 EDMONTON, AB",,6538,
SHOPPERS DRUG MART #237 EDMONTON,,1517,
SHOPPERS DRUG MART 214  BURNABY,,1421,
"SHOPPERS DRUG MART 243 EDMONTON, AB",,499,
SHUDH VAISHNU DHABA 001 SURREY,,3693,
SIMPLEFIN BRIDGE        CHESTNUT MOUNTA,,218,
SINGULAR EVENTS CANADA  VANCOUVER,,6438,
"SP DOSSIER CANADA TRYDOSSIER.CA, NJ",,14028,
SP URBAN PLANET         CANADA,,4457,
SPECSAVERS METROTOWN,,-2180,
SPECSAVERS METROTOWN SP BURNABY,,10900,
SPOTIFY                 STOCKHOLM,,716,
Spotify P284AEFBEE Stockholm,,671,
"SQ *CLIO MAISON DU CHOCOL Edmonton, AB",,250,
"SQ *KEVY Quebec, QC",,300,
"SQ *LOCAL PIZZA - HILLSID Victoria, BC",,1005,
"SQ *UVIC ECSS VICTORIA, BC",,125,
STAPLES #437            EDMONTON,,20,
STAPLES 428             VANCOUVER,,36,
STAPLES BUSINESS DEPOT  BURNABY,,36,
STAPLES STORE #68       COQUITLAM,,21,
STAPLES STORE #84       BURNABY,,179,
STARBUCKS 00157         VANCOUVER,,56,
STARBUCKS 15557         EDMONTON,,604,
STARBUCKS 800-782-72    800-782-7282,,2000,
"STARBUCKS 800-782-7282 800-782-7282, ON",,1000,
Starbucks T2 Main ORD   Chicago,,2978,
"STATIONNEMENT CENTRE-VILL MONTREAL, QC",,2000,
"STEAMGAMES.COM 4259522985 912-1844160, WA 506.00 INR @ .017015",,861,
SUBWAY 13479            EDMONTON,,2402,
"Subway 54321 Victoria, BC",,587,
SUBWAY 74257 74257      HOUSTON,,1216,
SUDDEN SALLY            BANFF,,1727,
SUN SPORT RECREATION LT Sylvan Lake,,3150,
"T&T SUPERMARKET #001 BURNABY, BC",,1441,
"T&T SUPERMARKET #010 EDMONTON, AB",,1723,
"T&T SUPERMARKET #025 VANCOUVER, BC",,878,
"T&T SUPERMARKET #029 VANCOUVER, BC",,534,
"T1-TRANS-AIRSIDE MISSISSAUGA, ON",,366,
TACO TIME  (FRANCHISES) VICTORIA,,1154,
TACO TIME - 2138 410209 EDMONTON,,1049,
TANDOORI FLAME 41215431 SURREY,,15028,
TAQUERIA JALISCO 001    VANCOUVER,,5972,
TARGET        012005 09 FLORENCE,,1231,
"TARGET 00012005 FLORENCE, KY 10.75 USD @ 1.371162",,1474,
TEMU.COM                VICTORIA,,-1642,
"THE GRILL HFB VICTORIA, BC",,1050,
THE HOME DEPOT #7045 70 COQUITLAM,,3293,
THE HOME DEPOT #7046 70 SURREY,,3690,
THE HOME DEPOT #7047    BURNABY,,3356,
THE HOME DEPOT #7055    VICTORIA,,1230,
THE HOME DEPOT #7227    EDMONTON,,4723,
THE LGND NEW            CHENNAI,,1203,
THE LGND NEW SARAVANA   CHENNAI,,2320,
THE MADRAS DIARIES 001  VANCOUVER,,7273,
THE MOTH CAFE           EDMONTON,,3952,
THRIFTY FOODS #9469 VIC VICTORIA,,1307,
TIFFIN INDIAS FRESH KIT EDMONTON,,1995,
TIM HORTONS #0261       VICTORIA,,314,
TIM HORTONS #0728       EDMONTON,,570,
TIM HORTONS #1781       RED DEER,,1150,
TIM HORTONS #2057       VICTORIA,,537,
TIM HORTONS #20704      VANCOUVER,,450,
TIM HORTONS #2561       EDMONTON,,272,
TIM HORTONS #2619       VICTORIA,,681,
"TIM HORTONS #2619 250-459-5833, BC",,377,
"TIM HORTONS #2619 VICTORIA, BC",,712,
TIM HORTONS #2646       MERRITT,,-419,
TIM HORTONS #2665       EDMONTON,,1063,
TIM HORTONS #2852       KELOWNA,,2496,
TIM HORTONS #2921       VICTORIA,,1444,
TIM HORTONS #3005# QT   DORVAL,,263,
TIM HORTONS #3255       NORTH VANCOUV,,167,
TIM HORTONS #3356       BURNABY,,621,
TIM HORTONS #4818       EDMONTON,,11,
TIM HORTONS #5762       COQUITLAM,,299,
TIM HORTONS #6176       W-VANCOUVER,,524,
TIM HORTONS #6270       SURREY,,103,
"TIM HORTONS #8175 SURREY, BC",,589,
TIM HORTONS #8396       RICHMOND,,469,
TIM HORTONS #915692     MONROE,,936,
TISTO CAKES 00-08042765 EDMONTON,,630,
TORONTO DUTY FREE CATV  MISSISSAUGA,,950,
TOTEM SOUVENIRS 4128479 BANFF,,1049,
TRAVIX TRAVIX           AMSTERDAM,,24470,
TREES ORGANIC COFFEE 00 VANCOUVER,,1497,
TRIPLE OS YVR 001       RICHMOND,,4175,
TRIVAGODEALSCA          TORONTO,,10200,
TST-BAHUBALI INDIAN CU  EDMONTON,,5315,
TST-BASANT SWEETS - LA  LANGLEY,,964,
TST-CAFE MALABAR        VICTORIA,,17695,
TST-DIN TAI FUNG - VAN  VANCOUVER,,8611,
TST-HEAVENLY DESSERTS   VICTORIA,,2993,
TST-IL TERRAZZO         VICTORIA,,30560,
TST-JULIO'S BARRIO      EDMONTON,,9478,
TST-MADURAI KITCHEN     CALGARY,,9000,
"TST-Passion8 Dessert C Coquitlam, BC",,1757,
TST-SUNTEA - COQUITLAM  COQUITLAM,,1732,
TST-TACOFINO - VICTORI  VICTORIA,,1795,
TWO CITIES PIZZA CO - M MASON,,9271,
U-HAUL MARMONT MARKET   COQUITLAM,,7163,
"UBER CANADA/UBEREATS TORONTO, ON",,4289,
UBER EATS               HTTPS://HELP.UB,,2386,
UBER EATS               TORONTO,,3194,
UBER HOLDINGS CANADA IN TORONTO,,896,
UBER TRIP               HTTPS://HELP.UB,,8039,
UBER TRIP               TORONTO,,3806,
"UBER* EATS UBER.COM/CA/E, ON",,2824,
ULTRAMAR #24480 ULTRAMA LAURIER-STATI,,5175,
UNIQLO CANADA           TORONTO,,5240,
UNIQLO CANADA SEC       EDMONTON,,-5240,
UNITED AIRLINES         HOUSTON,,4800,
"UPSTAIRS ENTERTAINMENT VICTORIA, BC",,775,
URBAN BEHAVIOR #1572    BURNABY,,3417,
URBAN GROCER VICTORIA   VICTORIA,,1310,
Use Points for Purchases,,-16800,
USTAAD G INDIAN CUISINE SURREY,,7440,
"UVIC ATHLETICS VICTORIA, BC",,500,
UVIC BOOKSTORE          VICTORIA,,1045,
UVIC BOOKSTORE ECOMM    VICTORIA,,6000,
"UVIC BOOKSTORE VICTORIA, BC",,520,
UVIC ECSS               VICTORIA,,200,
"UVIC FOOD BIBLIO VICTORIA, BC",,440,
UVIC FOOD MYSTIC        VICTORIA,,1570,
"UVIC FOOD NIBBLES VICTORIA, BC",,467,
UVIC FOOD SERVERY       VICTORIA,,1574,
"UVIC FOOD SERVERY VICTORIA, BC",,1782,
UVIC ONE CARD OFFICE EA VICTORIA,,1500,
"UVIC ONE CARD OFFICE ECOM VICTORIA, BC",,1000,
UVIC REGISTRAR          VICTORIA,,1000,
VAST.AI* 131Z3LS        LOS ANGELES,,1405,
VAST.AI* 3LEVVOS        LOS ANGELES,,702,
VAST.AI* CFMHTSC        LOS ANGELES,,703,
VAST.AI* D25NR3I        LOS ANGELES,,1124,
VAST.AI* K2KF2DW        LOS ANGELES,,702,
VAST.AI* OSLH3LT        LOS ANGELES,,702,
"VICTORIA FILM FESTIVAL VICTORIA, BC",,672,
VILLAGE PARKING 4114550 WHISTLER,,100,
"VILLE DE QUEBEC STATIO QUEBEC, QC",,350,
VIRGIN PLUS             VERDUN,,-5040,
"VIRGIN PLUS VERDUN, QC",,4368,
WAL-MART 1182 1182      EDMONTON,,7220,
WAL-MART 3008 3008      BURNABY,,5641,
WAL-MART 3042 3042      KELOWNA,,2555,
WAL-MART 3057 3057      NORTH VANCOUVER,,2238,
WAL-MART 3109 3109      VICTORIA,,2292,
"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,1260,
WAL-MART SUPERCENTRE#11 EDMONTON,,943,
WAL-MART SUPERCENTRE#12 VICTORIA,,-3358,
WALMART 1093 1093       WESTBANK,,4528,
WALMART 1104 1104       VANCOUVER,,1653,
WALMART 1214            VICTORIA,,11011,
WALMART 1214 1214       VICTORIA,,1744,
WALMART SUPERCENTER 121 BURNABY,,10574,
WALMART.CA              WALMART_CA,,5083,
WANDERU                 BOSTON,,3345,
"WAVES COFFEE CITY POINT SURREY, BC",,1397,
WESTJET AIRLINES 410000 CAMBRIDGE BAY,,5250,
WESTMOUNT (RELO)        EDMONTON,,2801,
WHOLE FOODS MARKET      BURNABY,,399,
WINNERS 346             EDMONTON,,3749,
WINNERS 527             N-VANCOUVER,,-7839,
"WINNERS 527 N-VANCOUVER, BC",,11361,
WINNERSHOMESENSE 372    BURNABY,,7839,
WORKING ADVANTAGE       AVENTURA,,21390,
WORLD DUTY FREE WORLD D RICHMOND,,4000,
WWW.CANADIANTIRE.CA     OAKVILLE,,14638,
WWW.FLIGHTHUB.COM       800-900-1431,,155,
WWW.GOINDIGO.IN WWW.GOI INDIA,,1115,
"XINGFUTANG DOWNTOWN VANCO VANCOUVER, BC",,786,
YEG TIM HORTONS 72813   EDMONTON,,1141,
YES CYCLE               Vancouver,,4830,
YORKCINEMAS.CA          MARKHAM,,5100,
YVR PARKING             RICHMOND,,1400,
YYC STACK+PRESS PRE 727 CALGARY,,2434,
ZUBU METROTOWN          BURNABY,,4628,
